order_id,source_batch,reason_code,customer_id,product_id,order_datetime,quantity,unit_price,discount_pct,payment_method,sales_channel,updated_at
O000376,1,PRODUCT_INACTIVE,C0081,P034,2026-02-27 12:55:00,3,530.09,0,Credit Card,Store,2026-02-28 23:59:00
O000388,1,INVALID_DATETIME,C0086,P027,31/02/2026 10:00,1,817.79,15,Bank Transfer,Marketplace,2026-01-25 23:59:00
O000393,1,INVALID_DATETIME,C0148,P037,not-a-date,5,185.91,10,Bank Transfer,Online,2026-02-25 23:59:00
O000404,1,INVALID_DISCOUNT,C0163,P016,2026-01-30 04:14:00,5,878.59,120,Credit Card,Store,2026-01-31 23:59:00
O000412,1,PRODUCT_INACTIVE,C0058,P017,2026-03-03 09:07:00,6,1281.37,15,Cash,Online,2026-03-04 23:59:00
O000415,1,MISSING_CUSTOMER_ID,,P030,2026-01-12 21:48:00,1,915.53,10,Credit Card,Marketplace,2026-01-13 23:59:00
O000417,1,MISSING_UNIT_PRICE,C0021,P011,2026-02-09 22:58:00,3,,0,Bank Transfer,Marketplace,2026-02-10 23:59:00
O000428,2,PRODUCT_NOT_FOUND,C0150,P999,2026-04-04 13:52:00,4,450.41,15,PromptPay,Marketplace,2026-04-06 23:59:00
O000445,2,INVALID_QUANTITY,C0015,P039,2026-03-24 01:46:00,-2,688.83,0,PromptPay,Store,2026-03-26 23:59:00
O000447,2,CUSTOMER_NOT_FOUND,C9999,P001,2026-02-16 15:50:00,4,29.67,5,PromptPay,Online,2026-02-18 23:59:00
O000452,2,INVALID_QUANTITY,C0126,P036,2026-04-05 15:06:00,three,220.86,0,Credit Card,Store,2026-04-07 23:59:00
O000472,2,PRODUCT_INACTIVE,C0067,P034,2026-04-26 10:44:00,6,530.09,10,Bank Transfer,Online,2026-04-28 23:59:00
O000485,2,INVALID_DATETIME,C0077,P010,31/02/2026 10:00,4,1366.97,5,Bank Transfer,Online,2026-05-05 23:59:00
O000491,2,PRODUCT_INACTIVE,C0050,P034,2026-04-13 19:01:00,4,530.09,0,Bank Transfer,Online,2026-04-15 23:59:00
O000498,2,MISSING_CUSTOMER_ID,,P035,2026-04-30 23:16:00,3,997.99,0,Credit Card,Marketplace,2026-05-02 23:59:00
O000499,2,PRODUCT_INACTIVE,C0072,P034,2026-04-22 07:50:00,1,530.09,15,Cash,Marketplace,2026-04-24 23:59:00
O000501,2,PRODUCT_INACTIVE,C0165,P017,2026-03-08 15:47:00,3,1281.37,15,Credit Card,Marketplace,2026-03-10 23:59:00
O000505,2,INVALID_DISCOUNT,C0154,P009,2026-03-25 23:29:00,4,192.56,120,Cash,Marketplace,2026-03-27 23:59:00
O000523,2,PRODUCT_INACTIVE,C0080,P034,2026-03-17 08:59:00,2,530.09,15,PromptPay,Store,2026-03-19 23:59:00
O000524,2,INVALID_DATETIME,C0075,P009,not-a-date,3,192.56,0,Bank Transfer,Marketplace,2026-03-08 23:59:00
O000530,2,PRODUCT_INACTIVE,C0142,P017,2026-03-25 09:36:00,1,1281.37,0,PromptPay,Online,2026-03-27 23:59:00
O000534,2,INVALID_QUANTITY,C0044,P004,2026-03-22 19:50:00,-2,1451.77,0,Bank Transfer,Online,2026-03-24 23:59:00
O000535,2,PRODUCT_NOT_FOUND,C0100,P999,2026-04-17 04:13:00,5,649.9,15,Bank Transfer,Store,2026-04-19 23:59:00
O000542,2,PRODUCT_INACTIVE,C0137,P034,2026-04-10 14:43:00,6,530.09,0,Credit Card,Online,2026-04-12 23:59:00
O000545,2,PRODUCT_INACTIVE,C0132,P017,2026-02-17 20:39:00,2,1281.37,10,credit card,Marketplace,2026-02-19 23:59:00
O000552,2,PRODUCT_INACTIVE,C0038,P034,2026-04-24 15:03:00,1,530.09,10,PromptPay,Online,2026-04-26 23:59:00
O000556,2,MISSING_UNIT_PRICE,C0177,P001,2026-04-21 06:20:00,6,,0,PromptPay,Store,2026-04-23 23:59:00
O000565,2,INVALID_QUANTITY,C0009,P033,2026-04-14 04:24:00,three,654.4,5,Cash,Marketplace,2026-04-16 23:59:00
O000581,2,MISSING_CUSTOMER_ID,,P010,2026-04-23 12:25:00,3,1366.97,15,Credit Card,Online,2026-04-25 23:59:00
O000582,2,INVALID_DATETIME,C0140,P009,31/02/2026 10:00,4,192.56,0,PromptPay,Online,2026-04-22 23:59:00
O000584,2,PRODUCT_INACTIVE,C0114,P034,2026-03-18 15:07:00,3,530.09,15,PromptPay,Online,2026-03-20 23:59:00
O000596,2,CUSTOMER_NOT_FOUND,C9999,P036,2026-03-31 05:33:00,5,220.86,0,Cash,Online,2026-04-02 23:59:00
O000599,2,PRODUCT_INACTIVE,C0138,P017,2026-04-25 16:12:00,1,1281.37,0,PromptPay,Store,2026-04-27 23:59:00
O000606,2,INVALID_DISCOUNT,C0125,P042,2026-03-22 11:21:00,6,733.19,120,Credit Card,Store,2026-03-24 23:59:00
O000623,2,INVALID_QUANTITY,C0086,P041,2026-02-16 02:04:00,-2,1291.92,15,Credit Card,Online,2026-02-18 23:59:00
O000642,2,PRODUCT_NOT_FOUND,C0018,P999,2026-02-17 10:10:00,5,979.4,5,Credit Card,Online,2026-02-19 23:59:00
O000655,2,INVALID_DATETIME,C0147,P037,not-a-date,3,185.91,0,Bank Transfer,Online,2026-04-24 23:59:00
O000656,2,PRODUCT_INACTIVE,C0174,P034,2026-04-10 01:48:00,1,530.09,5,Bank Transfer,Marketplace,2026-04-12 23:59:00
O000664,2,MISSING_CUSTOMER_ID,,P004,2026-04-11 00:34:00,3,1451.77,15,Bank Transfer,Store,2026-04-13 23:59:00
O000678,2,INVALID_QUANTITY,C0137,P046,2026-02-16 02:58:00,three,187.09,0,PromptPay,Store,2026-02-18 23:59:00
O000679,2,INVALID_DATETIME,C0075,P040,31/02/2026 10:00,2,1472.44,0,PromptPay,Online,2026-04-04 23:59:00
O000695,2,MISSING_UNIT_PRICE;PRODUCT_INACTIVE,C0119,P017,2026-04-06 11:55:00,3,,15,Cash,Marketplace,2026-04-08 23:59:00
O000702,2,PRODUCT_INACTIVE,C0147,P034,2026-04-02 20:37:00,2,530.09,0,Cash,Online,2026-04-04 23:59:00
O000707,2,INVALID_DISCOUNT,C0079,P044,2026-03-02 09:06:00,2,766.0,120,Bank Transfer,Store,2026-03-04 23:59:00
O000712,2,INVALID_QUANTITY,C0026,P040,2026-02-15 22:17:00,-2,1472.44,10,Bank Transfer,Store,2026-02-17 23:59:00
O000736,2,PRODUCT_INACTIVE,C0022,P034,2026-03-16 08:50:00,3,530.09,0,Credit Card,Online,2026-03-18 23:59:00
O000740,2,PRODUCT_INACTIVE,C0133,P017,2026-05-01 10:35:00,3,1281.37,15,Bank Transfer,Store,2026-05-03 23:59:00
O000745,2,CUSTOMER_NOT_FOUND,C9999,P021,2026-02-22 01:04:00,1,1114.51,0,PromptPay,Marketplace,2026-02-24 23:59:00
O000747,2,MISSING_CUSTOMER_ID,,P014,2026-04-07 20:13:00,1,358.74,0,Credit Card,Store,2026-04-09 23:59:00
O000749,2,PRODUCT_NOT_FOUND,C0180,P999,2026-04-18 13:19:00,1,204.81,0,Cash,Online,2026-04-20 23:59:00
O000769,2,PRODUCT_INACTIVE,C0079,P017,2026-03-08 13:16:00,5,1281.37,15,PromptPay,Marketplace,2026-03-10 23:59:00
O000776,2,INVALID_DATETIME,C0120,P047,31/02/2026 10:00,2,613.02,0,Cash,Online,2026-04-29 23:59:00
O000786,2,INVALID_DATETIME,C0044,P008,not-a-date,6,292.37,5,Cash,Marketplace,2026-04-09 23:59:00
O000791,2,INVALID_QUANTITY,C0058,P040,2026-04-11 13:31:00,three,1472.44,0,Credit Card,Store,2026-04-13 23:59:00
O000801,2,INVALID_QUANTITY,C0030,P044,2026-04-05 07:59:00,-2,766.0,0,Credit Card,Marketplace,2026-04-07 23:59:00
O000805,2,PRODUCT_INACTIVE,C0171,P034,2026-04-04 12:58:00,6,530.09,0,Credit Card,Store,2026-04-06 23:59:00
O000808,2,INVALID_DISCOUNT,C0168,P008,2026-02-20 13:39:00,5,292.37,120,Cash,Store,2026-02-22 23:59:00
O000824,2,PRODUCT_INACTIVE,C0022,P017,2026-04-27 14:46:00,1,1281.37,15,PromptPay,Marketplace,2026-04-29 23:59:00
O000830,2,MISSING_CUSTOMER_ID,,P009,2026-04-08 01:48:00,1,192.56,0,Bank Transfer,Online,2026-04-10 23:59:00
O000834,2,MISSING_UNIT_PRICE,C0058,P032,2026-04-30 17:12:00,3,,10,Cash,Online,2026-05-02 23:59:00
O000844,3,PRODUCT_INACTIVE,C0098,P034,2026-05-22 02:07:00,4,530.09,0,Credit Card,Marketplace,2026-05-25 23:59:00
O000855,3,PRODUCT_INACTIVE,C0105,P017,2026-05-11 15:48:00,6,1281.37,5,Bank Transfer,Online,2026-05-14 23:59:00
O000856,3,PRODUCT_NOT_FOUND,C0089,P999,2026-05-15 06:36:00,6,915.53,0,Bank Transfer,Marketplace,2026-05-18 23:59:00
O000873,3,INVALID_DATETIME,C0109,P001,31/02/2026 10:00,6,29.67,5,PromptPay,Marketplace,2026-06-09 23:59:00
O000890,3,INVALID_QUANTITY,C0061,P015,2026-05-28 01:59:00,-2,320.33,15,Bank Transfer,Store,2026-05-31 23:59:00
O000894,3,CUSTOMER_NOT_FOUND,C9999,P022,2026-04-28 09:49:00,5,840.27,10,Bank Transfer,Online,2026-05-01 23:59:00
O000904,3,INVALID_QUANTITY,C0152,P033,2026-06-16 06:47:00,three,654.4,0,Bank Transfer,Marketplace,2026-06-19 23:59:00
O000909,3,INVALID_DISCOUNT,C0058,P009,2026-06-10 21:37:00,1,192.56,120,PromptPay,Marketplace,2026-06-13 23:59:00
O000913,3,MISSING_CUSTOMER_ID,,P023,2026-05-26 00:19:00,5,784.71,5,Bank Transfer,Marketplace,2026-05-29 23:59:00
O000917,3,INVALID_DATETIME,C0032,P022,not-a-date,3,840.27,0,Credit Card,Store,2026-05-10 23:59:00
O000955,3,PRODUCT_INACTIVE,C0163,P017,2026-04-02 10:37:00,1,1281.37,10,PromptPay,Marketplace,2026-04-05 23:59:00
O000963,3,PRODUCT_NOT_FOUND,C0069,P999,2026-05-20 19:21:00,1,549.89,0,Cash,Online,2026-05-23 23:59:00
O000970,3,INVALID_DATETIME,C0040,P040,31/02/2026 10:00,2,1472.44,0,Cash,Online,2026-06-20 23:59:00
O000973,3,MISSING_UNIT_PRICE,C0055,P043,2026-06-16 00:22:00,2,,10,Bank Transfer,Marketplace,2026-06-19 23:59:00
O000976,3,PRODUCT_INACTIVE,C0036,P034,2026-06-05 00:50:00,4,530.09,0,Credit Card,Marketplace,2026-06-08 23:59:00
O000979,3,INVALID_QUANTITY,C0049,P047,2026-04-16 01:32:00,-2,613.02,0,Cash,Store,2026-04-19 23:59:00
O000996,3,MISSING_CUSTOMER_ID,,P035,2026-05-04 19:07:00,4,997.99,0,Cash,Online,2026-05-07 23:59:00
O001010,3,INVALID_DISCOUNT,C0102,P020,2026-04-17 03:46:00,2,62.79,120,PromptPay,Marketplace,2026-04-20 23:59:00
O001016,3,PRODUCT_INACTIVE,C0105,P017,2026-06-05 03:57:00,5,THB 1281.37,10,Bank Transfer,Store,2026-06-08 23:59:00
O001017,3,INVALID_QUANTITY,C0010,P009,2026-05-31 23:42:00,three,192.56,0,Bank Transfer,Marketplace,2026-06-03 23:59:00
O001043,3,CUSTOMER_NOT_FOUND,C9999,P029,2026-04-07 15:03:00,5,450.41,0,Bank Transfer,Store,2026-04-10 23:59:00
O001048,3,INVALID_DATETIME,C0023,P037,not-a-date,2,185.91,0,Cash,Store,2026-06-18 23:59:00
O001051,3,PRODUCT_INACTIVE,C0097,P034,2026-04-21 19:00:00,4,530.09,10,PromptPay,Store,2026-04-24 23:59:00
O001052,3,PRODUCT_INACTIVE,C0120,P017,2026-06-05 13:08:00,4,1281.37,10,PromptPay,Store,2026-06-08 23:59:00
O001058,3,PRODUCT_INACTIVE,C0151,P017,2026-04-06 21:32:00,4,1281.37,0,Credit Card,Marketplace,2026-04-09 23:59:00
O001059,3,PRODUCT_INACTIVE,C0028,P034,2026-04-10 12:32:00,1,530.09,10,PromptPay,Online,2026-04-13 23:59:00
O001067,3,INVALID_DATETIME,C0080,P042,31/02/2026 10:00,6,733.19,15,Credit Card,Marketplace,2026-04-28 23:59:00
O001068,3,INVALID_QUANTITY,C0145,P042,2026-04-20 01:42:00,-2,733.19,15,Bank Transfer,Online,2026-04-23 23:59:00
O001070,3,PRODUCT_NOT_FOUND,C0023,P999,2026-05-13 06:50:00,2,840.27,15,Cash,Store,2026-05-16 23:59:00
O001079,3,MISSING_CUSTOMER_ID,,P044,2026-06-12 04:11:00,2,766,0,Bank Transfer,Marketplace,2026-06-15 23:59:00
O001111,3,INVALID_DISCOUNT,C0137,P040,2026-04-08 03:19:00,3,1472.44,120,PromptPay,Online,2026-04-11 23:59:00
O001112,3,MISSING_UNIT_PRICE,C0096,P030,2026-06-10 12:16:00,3,,0,Bank Transfer,Marketplace,2026-06-13 23:59:00
O001129,3,PRODUCT_INACTIVE,C0141,P017,2026-04-09 09:58:00,1,1281.37,5,Bank Transfer,Store,2026-04-12 23:59:00
O001130,3,INVALID_QUANTITY,C0089,P001,2026-05-02 06:41:00,three,29.67,0,Credit Card,Store,2026-05-05 23:59:00
O001157,3,INVALID_QUANTITY,C0133,P041,2026-06-17 10:55:00,-2,1291.92,5,Credit Card,Store,2026-06-20 23:59:00
O001162,3,MISSING_CUSTOMER_ID,,P027,2026-06-07 09:16:00,6,817.79,15,Cash,Store,2026-06-10 23:59:00
O001164,3,INVALID_DATETIME,C0107,P008,31/02/2026 10:00,4,292.37,15,Bank Transfer,Store,2026-05-09 23:59:00
O001167,3,PRODUCT_INACTIVE,C0176,P034,2026-04-22 02:27:00,5,530.09,15,Bank Transfer,Marketplace,2026-04-25 23:59:00
O001172,3,PRODUCT_INACTIVE,C0157,P034,2026-04-20 07:06:00,5,530.09,15,Bank Transfer,Marketplace,2026-04-23 23:59:00
O001177,3,PRODUCT_NOT_FOUND,C0129,P999,2026-04-04 04:07:00,1,358.74,0,PromptPay,Marketplace,2026-04-07 23:59:00
O001179,3,INVALID_DATETIME,C0171,P031,not-a-date,1,599.9,15,Credit Card,Store,2026-05-07 23:59:00
O001184,3,PRODUCT_INACTIVE,C0080,P017,2026-04-24 17:45:00,3,1281.37,10,PromptPay,Marketplace,2026-04-27 23:59:00
O001192,3,CUSTOMER_NOT_FOUND,C9999,P045,2026-05-02 18:39:00,2,1459.08,10,PromptPay,Store,2026-05-05 23:59:00
O001201,3,PRODUCT_INACTIVE,C0103,P034,2026-06-17 20:54:00,3,530.09,0,PromptPay,Store,2026-06-20 23:59:00
O001212,3,INVALID_DISCOUNT,C0154,P004,2026-05-20 16:45:00,5,1451.77,120,Bank Transfer,Marketplace,2026-05-23 23:59:00
O001234,3,PRODUCT_INACTIVE,C0051,P034,2026-05-02 13:34:00,3,530.09,0,Cash,Store,2026-05-05 23:59:00
O001242,3,PRODUCT_INACTIVE,C0020,P034,2026-04-07 18:17:00,1,530.09,0,Bank Transfer,Marketplace,2026-04-10 23:59:00
O001243,3,INVALID_QUANTITY,C0078,P015,2026-04-02 11:45:00,three,320.33,0,Credit Card,Store,2026-04-05 23:59:00
O001245,3,MISSING_CUSTOMER_ID,,P023,2026-04-17 23:42:00,3,784.71,10,Bank Transfer,Online,2026-04-20 23:59:00
O001246,3,INVALID_QUANTITY,C0014,P024,2026-05-07 12:27:00,-2,241.87,0,Bank Transfer,Store,2026-05-10 23:59:00
O001247,3,PRODUCT_INACTIVE,C0061,P034,2026-06-14 17:08:00,4,530.09,0,Credit Card,Store,2026-06-17 23:59:00
O001251,3,MISSING_UNIT_PRICE,C0059,P025,2026-05-28 02:21:00,1,,0,Bank Transfer,Store,2026-05-31 23:59:00
